epoch,lr,train_loss,train_liver_dice_all,train_tumor_dice_all,val_loss,val_liver_dice_all,val_tumor_dice_all,val_mean_dice_all,val_liver_dice_fg,val_tumor_dice_fg,val_mean_dice_fg,val_tumor_fp_rate,val_tumor_outside_liver_rate,val_clinical_score,epoch_time_s
1,0.00010800000000000001,0.6658438487454902,0.5708192129866174,0.8853304779748118,0.5223951824707038,0.8352528989165189,0.8684691040335579,0.8518610014750384,0.5826599130568706,5.2938434138029194e-08,0.43638099172141215,0.0,0.0,0.7690000356857274,1409.613020658493
2,0.000156,0.5004545154662623,0.7323508945315383,0.9793656566659874,0.4568331549955664,0.7733534686303499,0.8684691040335579,0.820911286331954,0.7499470401348182,5.2938434138029194e-08,0.5744666279564854,0.0,0.0,0.7454782521769832,1284.6159257888794
3,0.00020399999999999997,0.4753826109698642,0.7311265164370528,0.9800145350322375,0.4414124507247732,0.892734288788972,0.8684691040335579,0.880601696411265,0.7948843279370827,5.2938434138029194e-08,0.6090294994736004,0.0,0.0,0.7908429638372595,1288.254680633545
4,0.000252,0.468286375518257,0.7334387976540085,0.9259102208867818,0.4322667523576749,0.7311648404390974,0.7558000928585042,0.7434824666488009,0.8000773470976837,0.2807860746240039,0.6758775645190915,0.0007076073340894605,0.08783298382240648,0.6673029118603375,1286.6915497779846
5,0.0003,0.46609411459181,0.7542936733902194,0.9021720594642962,0.43304817377125726,0.8720650069739427,0.7977431354105488,0.8349040711922459,0.7624414635986929,0.32083752304329904,0.653745024864404,0.00044965293355071924,0.05947497907004217,0.7438051547247689,1283.5855810642242
6,0.0003,0.4637298146974407,0.7761107493823153,0.906115304988088,0.43116290189242096,0.874739557639074,0.8301835760561282,0.8524615668476011,0.803538792631656,0.21531925710728458,0.659352332494342,8.446746519990436e-05,0.11133241758241759,0.759638126700826,1284.2805833816528
7,0.00015,0.46272669611282125,0.7913640191363932,0.9044161534487607,0.4266262421810002,0.8565326324240552,0.8410130130002802,0.8487728227121676,0.8048380103046944,0.3073936851986888,0.6844136299691452,0.00016843402201587162,0.06892793475775688,0.7600419436496555,1365.0670030117035
8,0.00015,0.4594921092827653,0.8168797259686199,0.9100448838450584,0.42430758119773554,0.8513076501214297,0.8456054955272295,0.8484565728243296,0.813913910157281,0.34691281963585296,0.6990304666954311,0.00019607432553737117,0.06449356383131218,0.7606202577075181,1286.8556020259857
9,0.00015,0.46020381309809877,0.819451052410856,0.9200615526186271,0.426944720799501,0.9056823150244322,0.7865458518878146,0.8461140834561234,0.7876209618131101,0.36830556607753534,0.684432644711554,0.00038122169247085773,0.06569001257279052,0.7505126488864879,1281.4392507076263
10,0.00015,0.4579611379170537,0.842694071551593,0.9145090984941717,0.42633755177901256,0.854222951361112,0.8574736827203965,0.8558483170407543,0.7873459843417019,0.36200222737073456,0.6810274976800109,0.00012620118389517648,0.059820919547939236,0.7680906276788774,1282.8254563808441
11,0.00015,0.4586691794997434,0.8265686387759309,0.9197798783448448,0.42606924874673174,0.8567729061643841,0.8573137905879403,0.8570433483761623,0.8021945713116015,0.3608309887282046,0.6946846825554606,0.00012479059010683937,0.07190892000155959,0.768493031212726,1274.4307096004486
12,0.00015,0.4579748484457648,0.8477925988551588,0.9234133112272155,0.41843908554298825,0.8496901277689898,0.8469270321502057,0.8483085799595977,0.8503851886874333,0.40211957723088915,0.7462121175127681,0.00024465438846595474,0.05760052122762089,0.7609656051579102,1277.3908693790436
13,7.5e-05,0.45766562034075836,0.8487350716444345,0.922850693059324,0.4194185830694571,0.8767047536388676,0.85848479377548,0.8675947737071739,0.8471743963724272,0.3886616531542214,0.7390066645667472,0.00013880797454376436,0.04712106959979008,0.7776667278835551,1285.9872374534607
14,7.5e-05,0.4561280997785619,0.8745158473060674,0.9247642930262905,0.418549579278695,0.9228623669636744,0.844443193614374,0.8836527802890243,0.8405433083689381,0.415684086043069,0.7370228723645366,0.0002799013435892417,0.03672564964323958,0.7883123400593257,1280.6595911979675
15,7.5e-05,0.4562676158730572,0.8827108134611501,0.9286800360065758,0.42400002636517703,0.9016352289038875,0.879327529687422,0.8904813792956547,0.8143323050838995,0.3411666729152396,0.6979318198813531,7.400026893413342e-05,0.022505962953565085,0.7989670238866581,1277.6891889572144
16,7.5e-05,0.4557245789200959,0.878950913309853,0.9248677656252519,0.4176775937627875,0.8789516484246271,0.8432071979302831,0.8610794231774551,0.8474057965088603,0.4160080037199675,0.744466707002273,0.0001985797619363136,0.021996660219068678,0.7715775881306267,1280.4901316165924
17,7.5e-05,0.4558947973101836,0.8873239804022138,0.9316161775905825,0.41831096291039765,0.9136109087434824,0.8545473398787122,0.8840791243110974,0.8363591282646546,0.42308947681361,0.7366839202501763,0.0003148209193044554,0.027578136093660485,0.7904147473605491,1281.039389848709
18,7.5e-05,0.4561188826925335,0.8878480733010262,0.930754729432125,0.42001368791869514,0.9313675092584248,0.8687974375601997,0.9000824734093122,0.8392581100056039,0.3892833864476503,0.7311244341131132,0.0001114923669925669,0.013617365067064575,0.8051429369048032,1278.1051602363586
19,7.5e-05,0.35697135290879745,0.9078324827244908,0.9500051379896873,0.24249570601277945,0.8999684501654581,0.8684753021352803,0.8842218761503692,0.8335361852741553,4.491823452699627e-05,0.6398429289721587,0.0,0.0,0.7935951681732198,1285.599766254425
20,7.5e-05,0.2191733496319317,0.9080557422805268,0.9816908288586179,0.22710489190867247,0.9291284736455157,0.8844571188212497,0.9067927962333827,0.8476117045629791,0.14623511127567454,0.6838338143215028,5.710087233105615e-05,0.0005212057650442548,0.8129622474894042,1276.1016461849213
21,7.5e-05,0.2158206939059882,0.8988142038302565,0.9822975031759256,0.22288775607361022,0.8646210578273744,0.8989125491115623,0.8817668034694683,0.8230867138531583,0.2430861107183612,0.6841138118690876,0.00012228336474938287,0.00010503263889253586,0.795978989204974,1270.2849214076996
22,7.5e-05,0.21652894764148517,0.9050585126312468,0.9820191277519017,0.2369766962328186,0.9208097483837203,0.8734531333942055,0.8971314408889628,0.8169674583695519,0.029385554478364665,0.631226228066808,6.481396696443016e-06,0.0002690724912947135,0.804092181967347,1265.378457069397
23,7.5e-05,0.2162536355137726,0.8959091015135331,0.983442367707376,0.23681423435474255,0.876806380886378,0.8794330081098856,0.8781196944981318,0.7958608636915068,0.07428539684323418,0.6233870734597418,8.96357663470266e-06,0.00022631640710130593,0.790481998483082,1263.4547145366669
24,7.5e-05,0.21458145000807866,0.8950101480110737,0.9834156074743731,0.2329755805206942,0.90405764818638,0.8762086520553278,0.8901331501208539,0.8490540824592886,0.046456302724592266,0.6632538052703492,4.774730274028819e-06,0.0009171390357302083,0.7991334333343493,1260.3479104042053
25,7.5e-05,0.21568632440214539,0.8893009603914629,0.9836414247454203,0.22429584954561813,0.905105676139227,0.891162276586734,0.8981339763629804,0.836453188942797,0.15740210834666976,0.6756895706869105,3.9504676386752116e-05,4.624491305956345e-05,0.8073403206809023,1255.387685060501
