epoch,train_loss,val_loss,train_dice_liver,train_dice_tumor,val_dice_liver,val_dice_tumor,lr,time_s
1,0.5501687537594095,0.4738226592540741,0.25236544238285646,0.033562671004712434,0.4241739506877658,0.08611185235667528,0.0003,1122.737404346466
2,0.47752608504901295,0.4506723407067751,0.33992419269446295,0.0765017041426897,0.387850269133983,0.1474114112962359,0.0003,1002.3285121917725
3,0.4611567722701551,0.48994675498259693,0.40567700861861816,0.10722181139314356,0.5735591465995494,0.1550849892462281,0.0003,1001.8687314987183
4,0.4524136105199589,0.4490566457572736,0.43710308405347326,0.13532001758545417,0.3691887096815495,0.09947886562501417,0.0003,1006.2971527576447
5,0.44518726549275295,0.4347907160457812,0.4741977992908495,0.16327530583037678,0.708270519149336,0.24035553382935684,0.0003,1009.5326173305511
6,0.44070247147368435,0.42289249520552785,0.5034753075330872,0.18770692019940327,0.4580319087250538,0.17275805938786024,0.0003,1011.3819944858551
7,0.436426425594032,0.44234955655901054,0.511818086657993,0.21381517678128126,0.5732310525859565,0.18579654391717476,0.0003,1018.1028256416321
8,0.4339276965323873,0.4251539672675886,0.5270904285014927,0.22586625764818735,0.6307133596108324,0.24052177843291406,0.0003,1016.776665687561
9,0.4313105633389514,0.42142370311837446,0.5529470305490252,0.2418525970203412,0.6972191054906495,0.2596859239370983,0.0003,1011.8314738273621
10,0.4291574698052929,0.4191036687085503,0.5668284889122877,0.2526411010784468,0.5902097429016087,0.19808049247243395,0.0003,1003.7805337905884
11,0.42666518636221107,0.4406893319205234,0.5874119752527042,0.2736524797092685,0.7013862705036356,0.16960420002376098,0.0003,1000.0542063713074
12,0.4254162026402166,0.42202878735567395,0.5869637997655088,0.28932042180712214,0.6880637403105065,0.3161367653287267,0.0003,1002.7752199172974
13,0.4238721643670453,0.41959463154014787,0.5980408034107051,0.29974235915229996,0.6839539998578162,0.24100937251623783,0.0003,1045.1865990161896
14,0.459578189961736,,0.4010090800798297,0.1449701497831868,0.0001426859554388436,3.8663655547062457e-08,0.0003,1095.8638467788696
15,,,0.11058619540604342,0.00532841579300951,1.9080444518121407e-09,3.8663655547062457e-08,0.0003,930.5785207748413
16,,,0.04502233833152847,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.0003,863.2644686698914
17,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.0003,827.5080029964447
18,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.00015,827.8847315311432
19,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.00015,826.8786110877991
20,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.00015,838.0538847446442
21,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.00015,828.9790709018707
22,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.00015,828.5564675331116
23,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.00015,828.5869853496552
24,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.00015,828.3595099449158
25,,,2.101116555098374e-09,3.1920406117062634e-08,1.9080444518121407e-09,3.8663655547062457e-08,0.00015,827.4782340526581
